Outils;Quantitée;Site d'achat; Prix unitaire HT ;Prix unitaire TTC;Référence; Coût total HT ; Coût total TTC 
Serrure de verrouillage du pied guitare;1;Thomann; 35,00 € ; 42,00 € ;517425; 35,00 € ; 42,00 € 
Cafetière;1;Electro depot; 41,65 € ; 49,98 € ;992833; 41,65 € ; 49,98 € 
Bouilloire;1;Boulanger; 49,99 € ; 59,99 € ;ete 5 oolong; 49,99 € ; 59,99 € 
Prises établis;2;Leroy merlin; 52,50 € ; 63,00 € ;84753413; 105,00 € ; 126,00 € 
Lampe loupe;2;Amazon; 28,33 € ; 33,99 € ;B0DDC3ZJVH; 56,65 € ; 67,98 € 
Extincteurs bois;3;Promat Sécurité; 30,00 € ; 36,00 € ;138727; 90,00 € ; 108,00 € 
Fourniture;;;;;; 192,06 € ; 230,47 € 
Trousse de secours;2;; 59,13 € ; 70,96 € ;0422AT02; 118,26 € ; 141,91 € 
Trousse de secours membre coupé;1;; 73,80 € ; 88,56 € ;0422MS01; 73,80 € ; 88,56 € 
Matériel de bureau;;;;;; 697,91 € ; 837,49 € 
Imprimante laser;1;Amazon; 324,99 € ; 389,99 € ;B0CWGPL92T; 324,99 € ; 389,99 € 
Tonner;1;Amazon; 39,58 € ; 47,50 € ;B0G7X8JGGN; 39,58 € ; 47,50 € 
PC;1;; 333,33 € ; 400,00 € ;Tim; 333,33 € ; 400,00 € 
Chaise de bureau;1;; -   € ;;; -   € ; -   € 
